record_id,employee_id,date,clock_in,clock_out,hours_worked,status
ATT001,EMP001,2024-03-01,08:00,17:30,9.5,present
ATT002,EMP002,2024-03-01,08:30,17:00,8.5,present
ATT003,EMP003,2024-03-01,09:00,18:00,9.0,present
ATT004,EMP004,2024-03-01,07:45,16:45,9.0,present
ATT005,EMP005,2024-03-01,08:15,17:15,9.0,present
ATT006,EMP006,2024-03-01,,,0.0,absent
ATT007,EMP007,2024-03-01,08:00,17:00,9.0,present
ATT008,EMP008,2024-03-01,09:30,18:30,9.0,present
ATT009,EMP009,2024-03-01,07:30,16:30,9.0,present
ATT010,EMP010,2024-03-01,08:00,17:00,9.0,present
ATT011,EMP001,2024-03-04,08:00,17:00,9.0,present
ATT012,EMP002,2024-03-04,08:30,17:30,9.0,present
ATT013,EMP003,2024-03-04,09:00,17:00,8.0,present
ATT014,EMP004,2024-03-04,08:00,17:00,9.0,present
ATT015,EMP005,2024-03-04,,,0.0,sick_leave
ATT016,EMP006,2024-03-04,08:00,17:00,9.0,present
ATT017,EMP007,2024-03-04,08:00,12:00,4.0,half_day
ATT018,EMP008,2024-03-04,09:00,18:00,9.0,present
ATT019,EMP009,2024-03-04,07:30,17:30,10.0,present
ATT020,EMP010,2024-03-04,08:00,17:00,9.0,present
ATT021,EMP011,2024-03-01,08:00,17:00,9.0,present
ATT022,EMP012,2024-03-01,08:30,17:30,9.0,present
ATT023,EMP013,2024-03-01,07:00,16:00,9.0,present
ATT024,EMP014,2024-03-01,08:00,17:30,9.5,present
ATT025,EMP015,2024-03-01,06:00,14:30,8.5,present
