budget_id,department,account_code,period,budget_amount,actual_amount
BUD001,Sales,4000,2024-Q1,1500000.00,1420000.00
BUD002,Sales,6400,2024-Q1,200000.00,185000.00
BUD003,Engineering,6100,2024-Q1,450000.00,462000.00
BUD004,Engineering,6500,2024-Q1,80000.00,75000.00
BUD005,Marketing,6400,2024-Q1,300000.00,325000.00
BUD006,Marketing,6100,2024-Q1,180000.00,178000.00
BUD007,Operations,6100,2024-Q1,220000.00,225000.00
BUD008,Operations,6200,2024-Q1,36000.00,36000.00
BUD009,Operations,6300,2024-Q1,12000.00,10500.00
BUD010,HR,6100,2024-Q1,150000.00,148000.00
BUD011,Finance,6100,2024-Q1,200000.00,198000.00
BUD012,Sales,4000,2024-Q2,1600000.00,1550000.00
BUD013,Sales,6400,2024-Q2,220000.00,210000.00
BUD014,Engineering,6100,2024-Q2,460000.00,455000.00
BUD015,Marketing,6400,2024-Q2,350000.00,380000.00
BUD016,Operations,6100,2024-Q2,225000.00,230000.00
BUD017,HR,6100,2024-Q2,155000.00,152000.00
BUD018,Finance,6100,2024-Q2,205000.00,202000.00
BUD019,Engineering,6500,2024-Q2,85000.00,92000.00
BUD020,Operations,6300,2024-Q2,12000.00,13500.00
