from_currency,to_currency,rate_date,exchange_rate
USD,EUR,2024-01-01,0.9210
USD,GBP,2024-01-01,0.7890
USD,JPY,2024-01-01,141.0400
USD,CAD,2024-01-01,1.3250
EUR,USD,2024-01-01,1.0858
GBP,USD,2024-01-01,1.2674
JPY,USD,2024-01-01,0.0071
USD,EUR,2024-02-01,0.9180
USD,GBP,2024-02-01,0.7920
USD,JPY,2024-02-01,146.8700
USD,CAD,2024-02-01,1.3410
EUR,USD,2024-02-01,1.0893
GBP,USD,2024-02-01,1.2626
JPY,USD,2024-02-01,0.0068
USD,EUR,2024-03-01,0.9250
USD,GBP,2024-03-01,0.7850
USD,JPY,2024-03-01,149.5200
USD,CAD,2024-03-01,1.3560
EUR,USD,2024-03-01,1.0811
GBP,USD,2024-03-01,1.2739
JPY,USD,2024-03-01,0.0067
USD,EUR,2024-04-01,0.9300
USD,GBP,2024-04-01,0.7910
USD,JPY,2024-04-01,151.3500
