review_id,employee_id,review_period,goal_score,competency_score,manager_rating,self_rating
PR001,EMP001,2024-H1,4.5,4.8,4.6,4.3
PR002,EMP002,2024-H1,4.2,4.5,4.3,4.0
PR003,EMP003,2024-H1,3.8,3.9,3.8,4.1
PR004,EMP004,2024-H1,4.7,4.6,4.7,4.5
PR005,EMP005,2024-H1,4.0,4.2,4.1,3.9
PR006,EMP006,2024-H1,3.5,3.6,3.5,3.8
PR007,EMP007,2024-H1,4.3,4.4,4.3,4.2
PR008,EMP008,2024-H1,3.9,4.0,3.9,4.0
PR009,EMP009,2024-H1,4.8,4.9,4.8,4.6
PR010,EMP010,2024-H1,4.1,4.0,4.0,4.2
PR011,EMP011,2024-H1,4.4,4.3,4.4,4.1
PR012,EMP012,2024-H1,3.7,3.8,3.7,3.9
PR013,EMP013,2024-H1,4.6,4.5,4.6,4.4
PR014,EMP014,2024-H1,4.0,4.1,4.0,3.8
PR015,EMP015,2024-H1,3.6,3.5,3.5,3.7
PR016,EMP016,2024-H1,3.9,4.0,3.9,4.1
PR017,EMP017,2024-H1,3.4,3.3,3.3,3.6
PR018,EMP018,2024-H1,4.0,4.1,4.0,3.9
PR019,EMP019,2024-H1,2.5,2.8,2.6,3.2
PR020,EMP020,2024-H1,3.8,3.7,3.7,3.9
