inventory_id,product_id,warehouse_id,quantity_on_hand,reorder_level,last_restock_date
INV001,P001,WH01,250,50,2024-03-01
INV002,P001,WH02,180,50,2024-02-15
INV003,P002,WH01,400,100,2024-03-05
INV004,P003,WH01,120,30,2024-02-20
INV005,P003,WH03,85,30,2024-03-10
INV006,P004,WH01,75,25,2024-03-12
INV007,P004,WH02,60,25,2024-02-28
INV008,P005,WH01,200,40,2024-03-01
INV009,P006,WH02,150,35,2024-02-10
INV010,P007,WH01,300,60,2024-03-08
INV011,P008,WH01,45,20,2024-03-15
INV012,P008,WH03,30,20,2024-03-01
INV013,P009,WH01,180,40,2024-02-25
INV014,P010,WH01,15,25,2024-03-10
INV015,P010,WH02,8,25,2024-02-20
INV016,P011,WH01,90,30,2024-03-05
INV017,P012,WH01,5,10,2023-12-01
INV018,P013,WH02,220,50,2024-03-12
INV019,P014,WH01,350,75,2024-03-01
INV020,P015,WH01,65,20,2024-02-15
INV021,P016,WH03,140,30,2024-03-08
INV022,P017,WH01,275,50,2024-03-10
INV023,P018,WH01,10,30,2024-01-15
INV024,P019,WH01,55,15,2024-03-05
INV025,P020,WH02,190,40,2024-03-12
