metric_id,product_id,inspection_date,defect_count,batch_size,pass_rate,inspector_id
QM001,P001,2024-01-15,2,500,99.60,INS01
QM002,P001,2024-02-15,1,500,99.80,INS02
QM003,P002,2024-01-20,5,1000,99.50,INS01
QM004,P003,2024-01-25,3,300,99.00,INS03
QM005,P004,2024-02-01,0,200,100.00,INS02
QM006,P005,2024-02-10,1,400,99.75,INS01
QM007,P006,2024-01-30,2,350,99.43,INS03
QM008,P007,2024-02-20,4,600,99.33,INS01
QM009,P008,2024-03-01,8,250,96.80,INS02
QM010,P009,2024-02-25,1,400,99.75,INS03
QM011,P010,2024-03-05,3,300,99.00,INS01
QM012,P011,2024-01-18,2,500,99.60,INS02
QM013,P012,2024-03-10,12,200,94.00,INS03
QM014,P013,2024-02-15,1,350,99.71,INS01
QM015,P014,2024-03-12,0,800,100.00,INS02
QM016,P015,2024-01-22,3,250,98.80,INS03
QM017,P016,2024-02-28,1,300,99.67,INS01
QM018,P017,2024-03-15,2,450,99.56,INS02
QM019,P018,2024-02-10,6,400,98.50,INS03
QM020,P019,2024-03-18,4,150,97.33,INS01
