forecast_id,region,period,product_category,forecast_amount,confidence_pct
SF001,Northeast,2024-Q1,Electronics,450000.00,85
SF002,Northeast,2024-Q1,Clothing,280000.00,80
SF003,West,2024-Q1,Electronics,520000.00,90
SF004,West,2024-Q1,Clothing,310000.00,75
SF005,Midwest,2024-Q1,Electronics,320000.00,82
SF006,Midwest,2024-Q1,Clothing,190000.00,78
SF007,South,2024-Q1,Electronics,410000.00,88
SF008,South,2024-Q1,Clothing,250000.00,83
SF009,Northeast,2024-Q2,Electronics,480000.00,80
SF010,Northeast,2024-Q2,Clothing,295000.00,76
SF011,West,2024-Q2,Electronics,550000.00,85
SF012,West,2024-Q2,Clothing,330000.00,72
SF013,Midwest,2024-Q2,Electronics,340000.00,79
SF014,South,2024-Q2,Electronics,430000.00,84
SF015,Southeast,2024-Q1,Electronics,380000.00,81
SF016,Southeast,2024-Q1,Clothing,220000.00,77
SF017,Southeast,2024-Q2,Electronics,400000.00,79
SF018,Northeast,2024-Q1,Home,180000.00,70
SF019,West,2024-Q1,Home,210000.00,72
SF020,South,2024-Q1,Home,160000.00,68
