opportunity_id,customer_id,sales_rep_id,stage,amount,probability,expected_close_date
OPP001,C001,SR01,closed_won,25000.00,100,2024-01-30
OPP002,C002,SR02,negotiation,18000.00,70,2024-04-15
OPP003,C003,SR03,proposal,32000.00,50,2024-05-01
OPP004,C004,SR01,qualification,15000.00,25,2024-06-15
OPP005,C005,SR04,closed_won,8500.00,100,2024-02-28
OPP006,C006,SR05,closed_lost,22000.00,0,2024-03-01
OPP007,C007,SR06,negotiation,45000.00,65,2024-04-30
OPP008,C009,SR07,proposal,12000.00,45,2024-05-15
OPP009,C010,SR04,closed_won,19500.00,100,2024-03-15
OPP010,C011,SR06,qualification,28000.00,30,2024-06-01
OPP011,C012,SR08,negotiation,55000.00,75,2024-04-20
OPP012,C014,SR09,proposal,9800.00,40,2024-05-30
OPP013,C015,SR05,closed_won,34000.00,100,2024-03-20
OPP014,C016,SR10,qualification,42000.00,20,2024-07-01
OPP015,C017,SR03,negotiation,16500.00,60,2024-04-25
OPP016,C019,SR06,closed_won,38000.00,100,2024-02-15
OPP017,C020,SR02,proposal,21000.00,55,2024-05-10
OPP018,C013,SR02,closed_lost,14000.00,0,2024-02-01
OPP019,C018,SR10,qualification,50000.00,15,2024-07-15
OPP020,C001,SR01,negotiation,30000.00,70,2024-04-10
