return_id,order_id,line_item_id,return_date,reason_code,refund_amount,status
RET001,ORD003,LI004,2024-02-28,defective,121.50,completed
RET002,ORD004,LI007,2024-02-15,wrong_item,145.00,completed
RET003,ORD006,LI009,2024-02-20,not_as_described,75.00,processing
RET004,ORD009,LI015,2024-03-20,changed_mind,162.00,completed
RET005,ORD001,LI002,2024-02-01,defective,100.00,completed
RET006,ORD008,LI012,2024-03-05,wrong_size,95.00,pending
RET007,ORD010,LI017,2024-03-12,not_as_described,137.75,completed
RET008,ORD011,LI019,2024-02-10,changed_mind,95.40,completed
RET009,ORD013,LI023,2024-03-15,defective,95.00,processing
RET010,ORD002,LI003,2024-02-05,wrong_item,89.99,completed
RET011,ORD005,LI008,2024-03-01,changed_mind,67.80,pending
RET012,ORD007,LI011,2024-02-25,not_as_described,88.00,completed
RET013,ORD014,LI025,2024-02-15,defective,42.99,completed
RET014,ORD012,LI020,2024-03-25,wrong_item,405.00,processing
RET015,ORD015,LI015,2024-03-28,changed_mind,162.00,pending
