record_id,warehouse_id,product_id,quantity,location_bin,last_count_date,discrepancy
WI001,WH01,P001,248,A-01-01,2024-03-15,-2
WI002,WH01,P002,400,A-02-01,2024-03-15,0
WI003,WH01,P003,118,A-03-01,2024-03-15,-2
WI004,WH01,P004,75,B-01-01,2024-03-15,0
WI005,WH01,P005,198,B-02-01,2024-03-15,-2
WI006,WH01,P007,300,B-03-01,2024-03-15,0
WI007,WH01,P008,43,C-01-01,2024-03-15,-2
WI008,WH01,P009,180,C-02-01,2024-03-15,0
WI009,WH01,P010,14,C-03-01,2024-03-15,-1
WI010,WH01,P011,90,D-01-01,2024-03-15,0
WI011,WH01,P012,5,D-02-01,2024-03-15,0
WI012,WH01,P014,348,D-03-01,2024-03-15,-2
WI013,WH01,P015,63,E-01-01,2024-03-15,-2
WI014,WH01,P017,275,E-02-01,2024-03-15,0
WI015,WH01,P018,10,E-03-01,2024-03-15,0
WI016,WH01,P019,55,F-01-01,2024-03-15,0
WI017,WH02,P001,178,A-01-01,2024-03-10,-2
WI018,WH02,P004,58,A-02-01,2024-03-10,-2
WI019,WH02,P006,150,A-03-01,2024-03-10,0
WI020,WH02,P010,7,B-01-01,2024-03-10,-1
WI021,WH02,P013,218,B-02-01,2024-03-10,-2
WI022,WH02,P020,188,B-03-01,2024-03-10,-2
WI023,WH03,P003,83,A-01-01,2024-03-12,-2
WI024,WH03,P008,29,A-02-01,2024-03-12,-1
WI025,WH03,P016,138,A-03-01,2024-03-12,-2
