invoice_id,customer_id,invoice_date,due_date,amount,currency,status,payment_date,load_date,source_system,batch_id
AR001,C001,2024-01-05,2024-02-04,250.0,USD,paid,2024-01-28,2026-04-30 13:46:25,informatica_etl,AUTO
AR002,C002,2024-01-12,2024-02-11,89.99,USD,paid,2024-02-10,2026-04-30 13:46:25,informatica_etl,AUTO
AR003,C003,2024-01-20,2024-02-19,175.25,USD,paid,2024-02-15,2026-04-30 13:46:25,informatica_etl,AUTO
AR004,C004,2024-01-08,2024-02-07,430.0,USD,paid,2024-02-05,2026-04-30 13:46:25,informatica_etl,AUTO
AR005,C005,2024-02-14,2024-03-16,67.8,USD,paid,2024-03-10,2026-04-30 13:46:25,informatica_etl,AUTO
AR006,C006,2024-01-25,2024-02-24,312.45,EUR,paid,2024-02-20,2026-04-30 13:46:25,informatica_etl,AUTO
AR007,C007,2024-02-05,2024-03-07,88.0,USD,paid,2024-03-05,2026-04-30 13:46:25,informatica_etl,AUTO
AR008,C008,2024-01-30,2024-03-01,145.6,USD,overdue,,2026-04-30 13:46:25,informatica_etl,AUTO
AR009,C009,2024-03-10,2024-04-09,520.0,USD,pending,,2026-04-30 13:46:25,informatica_etl,AUTO
AR010,C010,2024-02-20,2024-03-22,210.3,USD,paid,2024-03-20,2026-04-30 13:46:25,informatica_etl,AUTO
AR011,C011,2024-01-18,2024-02-17,95.4,USD,paid,2024-02-14,2026-04-30 13:46:25,informatica_etl,AUTO
AR012,C012,2024-03-05,2024-04-04,680.0,GBP,pending,,2026-04-30 13:46:25,informatica_etl,AUTO
AR013,C013,2024-02-22,2024-03-24,155.75,USD,paid,2024-03-22,2026-04-30 13:46:25,informatica_etl,AUTO
AR014,C014,2024-01-28,2024-02-27,42.99,USD,paid,2024-02-25,2026-04-30 13:46:25,informatica_etl,AUTO
AR015,C015,2024-03-15,2024-04-14,290.0,USD,pending,,2026-04-30 13:46:25,informatica_etl,AUTO
AR016,C016,2024-02-08,2024-03-10,178.5,USD,paid,2024-03-08,2026-04-30 13:46:25,informatica_etl,AUTO
AR017,C017,2024-01-14,2024-02-13,365.0,USD,paid,2024-02-10,2026-04-30 13:46:25,informatica_etl,AUTO
AR018,C019,2024-02-25,2024-03-27,445.6,USD,overdue,,2026-04-30 13:46:25,informatica_etl,AUTO
AR019,C020,2024-01-22,2024-02-21,230.0,USD,paid,2024-02-18,2026-04-30 13:46:25,informatica_etl,AUTO
AR020,C002,2024-03-15,2024-04-14,340.0,USD,pending,,2026-04-30 13:46:25,informatica_etl,AUTO
