record_id,employee_id,date,clock_in,clock_out,hours_worked,status,load_date,source_system,batch_id
ATT001,EMP001,2024-03-01,08:00,17:30,9.5,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT002,EMP002,2024-03-01,08:30,17:00,8.5,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT003,EMP003,2024-03-01,09:00,18:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT004,EMP004,2024-03-01,07:45,16:45,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT005,EMP005,2024-03-01,08:15,17:15,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT006,EMP006,2024-03-01,,,0.0,absent,2026-04-30 13:46:25,informatica_etl,AUTO
ATT007,EMP007,2024-03-01,08:00,17:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT008,EMP008,2024-03-01,09:30,18:30,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT009,EMP009,2024-03-01,07:30,16:30,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT010,EMP010,2024-03-01,08:00,17:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT011,EMP001,2024-03-04,08:00,17:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT012,EMP002,2024-03-04,08:30,17:30,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT013,EMP003,2024-03-04,09:00,17:00,8.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT014,EMP004,2024-03-04,08:00,17:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT015,EMP005,2024-03-04,,,0.0,sick_leave,2026-04-30 13:46:25,informatica_etl,AUTO
ATT016,EMP006,2024-03-04,08:00,17:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT017,EMP007,2024-03-04,08:00,12:00,4.0,half_day,2026-04-30 13:46:25,informatica_etl,AUTO
ATT018,EMP008,2024-03-04,09:00,18:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT019,EMP009,2024-03-04,07:30,17:30,10.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT020,EMP010,2024-03-04,08:00,17:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT021,EMP011,2024-03-01,08:00,17:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT022,EMP012,2024-03-01,08:30,17:30,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT023,EMP013,2024-03-01,07:00,16:00,9.0,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT024,EMP014,2024-03-01,08:00,17:30,9.5,present,2026-04-30 13:46:25,informatica_etl,AUTO
ATT025,EMP015,2024-03-01,06:00,14:30,8.5,present,2026-04-30 13:46:25,informatica_etl,AUTO
