payroll_id,employee_id,pay_period,gross_pay,federal_tax,state_tax,insurance,retirement_401k,net_pay,total_deductions,effective_tax_rate,calc_net_pay,net_pay_variance,load_date,source_system,batch_id
PAY001,EMP001,2024-01,15416.67,3083.33,770.83,450.0,924.99,10187.52,5229.15,25.0,10187.52,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY002,EMP002,2024-01,12083.33,2416.67,604.17,450.0,725.0,7887.49,4195.84,25.0,7887.49,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY003,EMP003,2024-01,9583.33,1916.67,479.17,350.0,574.99,6262.5,3320.83,25.0,6262.5,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY004,EMP004,2024-01,14583.33,2916.67,729.17,450.0,875.0,9612.49,4970.84,25.0,9612.49,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY005,EMP005,2024-01,10833.33,2166.67,541.67,450.0,650.0,7024.99,3808.34,25.0,7024.99,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY006,EMP006,2024-01,7083.33,1416.67,354.17,350.0,425.0,4537.49,2545.84,25.0,4537.49,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY007,EMP007,2024-01,12916.67,2583.33,645.83,450.0,775.0,8462.51,4454.16,25.0,8462.51,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY008,EMP008,2024-01,7916.67,1583.33,395.83,350.0,475.0,5112.51,2804.16,25.0,5112.51,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY009,EMP009,2024-01,16666.67,3333.33,833.33,450.0,1000.0,11050.01,5616.66,25.0,11050.009999999998,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY010,EMP010,2024-01,8750.0,1750.0,437.5,350.0,525.0,5687.5,3062.5,25.0,5687.5,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY011,EMP011,2024-01,11666.67,2333.33,583.33,450.0,700.0,7600.01,4066.66,25.0,7600.01,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY012,EMP012,2024-01,6666.67,1333.33,333.33,350.0,400.0,4250.01,2416.66,25.0,4250.01,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY013,EMP013,2024-01,14166.67,2833.33,708.33,450.0,850.0,9325.01,4841.66,25.0,9325.01,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY014,EMP014,2024-01,9166.67,1833.33,458.33,350.0,550.0,5975.01,3191.66,25.0,5975.01,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY015,EMP015,2024-01,6250.0,1250.0,312.5,250.0,375.0,4062.5,2187.5,25.0,4062.5,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY016,EMP016,2024-01,8333.33,1666.67,416.67,350.0,500.0,5399.99,2933.34,25.0,5399.99,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY017,EMP017,2024-01,6833.33,1366.67,341.67,350.0,410.0,4364.99,2468.34,25.0,4364.99,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY018,EMP018,2024-01,7500.0,1500.0,375.0,350.0,450.0,4825.0,2675.0,25.0,4825.0,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY019,EMP019,2024-01,11250.0,2250.0,562.5,450.0,675.0,7312.5,3937.5,25.0,7312.5,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
PAY020,EMP020,2024-01,6500.0,1300.0,325.0,250.0,390.0,4235.0,2265.0,25.0,4235.0,0.0,2026-04-30 13:46:25,informatica_etl,AUTO
