product_id,avg_rating,review_count,min_rating,max_rating,sentiment,load_date,source_system,batch_id
P001,4.5,2,4,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P002,5.0,1,5,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P003,3.0,1,3,3,neutral,2026-04-30 13:46:25,informatica_etl,AUTO
P004,4.5,2,4,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P005,4.0,1,4,4,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P006,5.0,1,5,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P007,4.0,1,4,4,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P008,3.0,2,2,4,neutral,2026-04-30 13:46:25,informatica_etl,AUTO
P009,5.0,1,5,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P010,4.5,2,4,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P011,3.0,1,3,3,neutral,2026-04-30 13:46:25,informatica_etl,AUTO
P013,5.0,1,5,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P014,4.0,1,4,4,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P015,5.0,1,5,5,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P016,4.0,1,4,4,positive,2026-04-30 13:46:25,informatica_etl,AUTO
P017,3.0,1,3,3,neutral,2026-04-30 13:46:25,informatica_etl,AUTO
