region,period,total_revenue,order_count,avg_order_value,load_date,source_system,batch_id
Midwest,2024-01,583.24,3,194.41333333333333,2026-04-30 13:46:25,informatica_etl,AUTO
Northeast,2024-01,562.45,2,281.225,2026-04-30 13:46:25,informatica_etl,AUTO
Northeast,2024-03,290.0,1,290.0,2026-04-30 13:46:25,informatica_etl,AUTO
South,2024-01,525.4,2,262.7,2026-04-30 13:46:25,informatica_etl,AUTO
South,2024-02,533.6,2,266.8,2026-04-30 13:46:25,informatica_etl,AUTO
South,2024-03,520.0,1,520.0,2026-04-30 13:46:25,informatica_etl,AUTO
Southeast,2024-03,680.0,1,680.0,2026-04-30 13:46:25,informatica_etl,AUTO
West,2024-01,235.58999999999997,2,117.79499999999999,2026-04-30 13:46:25,informatica_etl,AUTO
West,2024-02,612.35,4,153.0875,2026-04-30 13:46:25,informatica_etl,AUTO
West,2024-03,539.99,2,269.995,2026-04-30 13:46:25,informatica_etl,AUTO
